dataset,attack,f,f_pct,defense,krum_applicable,seed,auroc,pr_auc,bal_acc,mcc,auc_lc,bsr,convergence_fail,runtime_s,comm_params_per_round,auroc_clean,auroc_degradation,aggregator_effective,run_status
eicu,sign_flip,2,25.0,krum,True,23,0.88209,0.49607,0.80848,0.29413,0.8711450000000001,,0,0.268,976,0.87232,0.00977,krum,valid_primary
eicu,sign_flip,2,25.0,krum,True,37,0.89996,0.55825,0.80534,0.28946,0.8896617857142858,,0,0.276,976,0.88935,0.01061,krum,valid_primary
eicu,sign_flip,2,25.0,clipping,True,7,0.87958,0.4341,0.7876,0.26493,0.870967142857143,,0,0.264,976,0.89052,-0.0109399999999999,clipping,valid_primary
eicu,sign_flip,2,25.0,clipping,True,11,0.86747,0.37636,0.79073,0.26904,0.8573985714285713,,0,0.269,976,0.88994,-0.0224699999999999,clipping,valid_primary
eicu,sign_flip,2,25.0,clipping,True,19,0.89027,0.49419,0.78864,0.26629,0.8759832142857144,,0,0.266,976,0.89102,-0.00075,clipping,valid_primary
eicu,sign_flip,2,25.0,clipping,True,23,0.86013,0.39758,0.78326,0.26801,0.8490878571428571,,0,0.28,976,0.88835,-0.02822,clipping,valid_primary
eicu,sign_flip,2,25.0,clipping,True,37,0.8805,0.42687,0.79804,0.27898,0.8766985714285714,,0,0.27,976,0.89203,-0.01153,clipping,valid_primary
eicu,sign_flip,3,37.5,fedavg,True,7,0.86413,0.34881,0.79699,0.27753,0.8565639285714284,,0,0.325,976,0.89052,-0.02639,fedavg,valid_primary
eicu,sign_flip,3,37.5,fedavg,True,11,0.80418,0.24006,0.73595,0.22124,0.8010507142857143,,0,0.343,976,0.88994,-0.0857599999999999,fedavg,valid_primary
eicu,sign_flip,3,37.5,fedavg,True,19,0.87474,0.38068,0.80221,0.2849,0.8489539285714286,,0,0.327,976,0.89102,-0.01628,fedavg,valid_primary
eicu,sign_flip,3,37.5,fedavg,True,23,0.79666,0.32492,0.69386,0.18178,0.7887639285714286,,0,0.317,976,0.88835,-0.0916899999999999,fedavg,valid_primary
eicu,sign_flip,3,37.5,fedavg,True,37,0.81545,0.25035,0.79403,0.26582,0.8308589285714287,,0,0.317,976,0.89203,-0.0765799999999999,fedavg,valid_primary
eicu,sign_flip,3,37.5,coord_median,True,7,0.87708,0.42805,0.81161,0.29891,0.872257142857143,,0,0.332,976,0.89253,-0.01545,coord_median,valid_primary
eicu,sign_flip,3,37.5,coord_median,True,11,0.87374,0.39382,0.80534,0.28946,0.8679032142857143,,0,0.322,976,0.89177,-0.0180299999999999,coord_median,valid_primary
