model_seed,crn_idx,scenario,round,n_attend,participation_clinical,active_clients,auroc,pr_auc,comm_cost_params,comm_cost_bytes,chain_hash
7,3,C0,11,331,0.8234,2,0.5631,0.20402,48,192,d0d556b821b9cfb3
7,3,C0,12,328,0.8159,2,0.57473,0.21853,48,192,bc91cb7b9c8f43ee
7,3,C0,13,330,0.8209,2,0.56731,0.21194,48,192,1ed30284c1cf65d9
7,3,C0,14,324,0.806,2,0.53599,0.20942,48,192,43a72c8464b619a7
7,3,C0,15,334,0.8308,2,0.55679,0.23276,48,192,da51f19744827c95
7,3,C0,16,323,0.8035,2,0.57142,0.17752,48,192,375513a5dc5698a1
7,3,C0,17,328,0.8159,2,0.54516,0.19946,48,192,44b55395409ecc8b
7,3,C0,18,321,0.7985,2,0.55699,0.20697,48,192,89bace4263e73c25
7,3,C0,19,319,0.7935,2,0.54997,0.22611,48,192,e3b37ac75ee69384
7,3,C0,20,327,0.8134,2,0.5397,0.21955,48,192,ae85b20f763e09f4
7,3,C1,1,351,0.8731,2,0.55909,0.18891,48,192,82fb4c8577c69f29
7,3,C1,2,343,0.8532,2,0.57097,0.20992,48,192,58a9ef3bf8abfdfd
7,3,C1,3,339,0.8433,2,0.56105,0.23226,48,192,c7cf152635192ed7
7,3,C1,4,340,0.8458,2,0.55629,0.22685,48,192,07f8325684cf1667
7,3,C1,5,350,0.8706,2,0.54526,0.20919,48,192,fc5a182aa0c841bb
7,3,C1,6,356,0.8856,2,0.542,0.22088,48,192,2c99ad36074dbe32
7,3,C1,7,347,0.8632,2,0.55759,0.23363,48,192,02d12a594b993b57
7,3,C1,8,343,0.8532,2,0.562,0.2103,48,192,f55d963f2b6f8daf
7,3,C1,9,353,0.8781,2,0.55463,0.22974,48,192,f9052ecf59e32ac9
7,3,C1,10,341,0.8483,2,0.55413,0.22712,48,192,3cb2d667e8f9fb23
7,3,C1,11,349,0.8682,2,0.5616,0.19485,48,192,4ad4bd19cd7ec508
7,3,C1,12,349,0.8682,2,0.5623,0.21842,48,192,6a25df98e612d8f1
7,3,C1,13,344,0.8557,2,0.56155,0.21219,48,192,4f5c75bfcbf5883b
7,3,C1,14,339,0.8433,2,0.53153,0.20854,48,192,efd4c01341eae5bc
7,3,C1,15,343,0.8532,2,0.55994,0.21377,48,192,de5e547e5cdd7f3d
7,3,C1,16,349,0.8682,2,0.54917,0.2075,48,192,c2c7cb5edb3af9c8
7,3,C1,17,344,0.8557,2,0.54491,0.20021,48,192,d706801cbcdcceb0
7,3,C1,18,337,0.8383,2,0.5407,0.22155,48,192,184b0256eef0a292
7,3,C1,19,335,0.8333,2,0.54947,0.2203,48,192,43f86d3dac5d7498
7,3,C1,20,354,0.8806,2,0.5605,0.22056,48,192,c75cebf2a117fd27
7,3,C2,1,354,0.8806,2,0.55924,0.19469,48,192,0be9add7a524be4c
7,3,C2,2,342,0.8507,2,0.56145,0.23605,48,192,9a01e89b023b9848
7,3,C2,3,344,0.8557,2,0.56506,0.21867,48,192,ddf8fba7631eba1b
7,3,C2,4,351,0.8731,2,0.56255,0.20919,48,192,7c7a1d9219c64a69
7,3,C2,5,359,0.893,2,0.54561,0.20607,48,192,46794ff1d7cd0e73
7,3,C2,6,357,0.8881,2,0.53934,0.21399,48,192,900a0a8e3d7e4659
7,3,C2,7,346,0.8607,2,0.55699,0.21598,48,192,7893ef27ed45be64
7,3,C2,8,348,0.8657,2,0.56711,0.19996,48,192,96a05d5e2061c336
7,3,C2,9,351,0.8731,2,0.55694,0.23152,48,192,997d58d726470642
7,3,C2,10,349,0.8682,2,0.56125,0.23176,48,192,851f5d4f74c3a5c3
7,3,C2,11,360,0.8955,2,0.55914,0.207,48,192,74ffd85479a812bb
7,3,C2,12,360,0.8955,2,0.56811,0.22916,48,192,312990433e0c5e92
7,3,C2,13,350,0.8706,2,0.55443,0.22008,48,192,943ee244a725de2c
7,3,C2,14,352,0.8756,2,0.53879,0.20944,48,192,5d5c80694395feba
7,3,C2,15,350,0.8706,2,0.55919,0.21448,48,192,343682dc2de5a1a9
7,3,C2,16,354,0.8806,2,0.54521,0.21766,48,192,e03bf996c2028bf3
7,3,C2,17,345,0.8582,2,0.55077,0.21857,48,192,83c69475cc4bc076
7,3,C2,18,346,0.8607,2,0.55353,0.2191,48,192,7037f363f2c11236
7,3,C2,19,337,0.8383,2,0.55338,0.22225,48,192,a728e38386d4f1f6
7,3,C2,20,352,0.8756,2,0.55578,0.21884,48,192,d8e5e1e391409689
7,3,C3,1,356,0.8856,2,0.55899,0.19221,48,192,c59eb4e72e46923c
7,3,C3,2,358,0.8905,2,0.56285,0.23401,48,192,4ff143df2921523f
7,3,C3,3,350,0.8706,2,0.56626,0.22436,48,192,7a48ab3f5cc82e81
7,3,C3,4,356,0.8856,2,0.56235,0.21046,48,192,e18ed7a3e25a1766
7,3,C3,5,360,0.8955,2,0.54651,0.20666,48,192,78220fac5cff9587
7,3,C3,6,364,0.9055,2,0.54085,0.21644,48,192,04107e0a6a17b497
7,3,C3,7,357,0.8881,2,0.56065,0.23472,48,192,f2ed46c02856905f
7,3,C3,8,354,0.8806,2,0.56686,0.19615,48,192,06a0a8a730e7644b
7,3,C3,9,359,0.893,2,0.55468,0.22998,48,192,9e7596eeede352f0
7,3,C3,10,356,0.8856,2,0.56375,0.2272,48,192,5c92b39a248dcf34
7,3,C3,11,368,0.9154,2,0.5625,0.20464,48,192,f25a0fdf3ddcde8b
7,3,C3,12,362,0.9005,2,0.56771,0.2306,48,192,ca89a9bcecc0827c
7,3,C3,13,358,0.8905,2,0.55784,0.22498,48,192,555199deb66ac6e0
7,3,C3,14,362,0.9005,2,0.54055,0.21329,48,192,ecf0e26e04827dc1
