label,n,n_pos,prevalence,pr_auc,auroc,brier,cal_slope,cal_intercept,seed,test_client
FedProx,406,217,0.5344827586206896,0.7621724623380468,0.7997464218662376,0.17496345965663204,1.0684282045196405,0.14122982749010338,19,CIMAS HCC GWERU PHARMACY
FedAvg-equal,406,217,0.5344827586206896,0.7650661533265424,0.8003559846877819,0.1752647057446151,1.1892946847690846,0.11234130501861479,19,CIMAS HCC GWERU PHARMACY
FedAvg,839,362,0.43146603098927294,0.7072799625230745,0.8079444502357042,0.1763513792274099,1.074485176989045,-0.20952956951502838,19,CIMAS HIGH GLEN PHARMACY
FedProx,839,362,0.43146603098927294,0.7073143596558441,0.807950241495535,0.17635270476926057,1.0745811161058954,-0.20953788067819615,19,CIMAS HIGH GLEN PHARMACY
FedAvg-equal,839,362,0.43146603098927294,0.7059250847309148,0.8075911833860338,0.17685334132620162,1.1815971371520595,-0.2474728231809564,19,CIMAS HIGH GLEN PHARMACY
FedAvg,378,125,0.3306878306878307,0.6333193835720056,0.8206482213438736,0.1688301241890132,1.1764955594809359,-0.5444283027995117,19,CIMAS KWEKWE CLINIC- PHARMACY
FedProx,378,125,0.3306878306878307,0.6333193835720056,0.8206482213438736,0.16883203549059403,1.176596627391741,-0.5444479484324791,19,CIMAS KWEKWE CLINIC- PHARMACY
FedAvg-equal,378,125,0.3306878306878307,0.6436243585004225,0.8219130434782609,0.16990266949955687,1.2969909995636426,-0.5661699101647975,19,CIMAS KWEKWE CLINIC- PHARMACY
FedAvg,439,198,0.4510250569476082,0.6223251590581755,0.7437235424787292,0.2042508929223383,0.8185897054227176,-0.26184828485965017,19,CIMAS MANRESA - PHARRMACY
FedProx,439,198,0.4510250569476082,0.6223530995272925,0.7437444989312209,0.20425129585146512,0.8186576605885332,-0.2618381031522635,19,CIMAS MANRESA - PHARRMACY
FedAvg-equal,439,198,0.4510250569476082,0.6206385250100637,0.7441217150760719,0.2034595505423356,0.9007456448864338,-0.30336041004896613,19,CIMAS MANRESA - PHARRMACY
FedAvg,118,47,0.3983050847457627,0.7980912355240943,0.8810308660473478,0.14031530299210176,1.4344638157742988,-0.32458819484442847,19,CLIQUE PHARMACY
FedProx,118,47,0.3983050847457627,0.7980912355240943,0.8810308660473478,0.1403217442699329,1.4345197053905168,-0.32466256187521675,19,CLIQUE PHARMACY
FedAvg-equal,118,47,0.3983050847457627,0.8283430343131883,0.8855259214863649,0.14272140756990595,1.5478136370161746,-0.3276843901188158,19,CLIQUE PHARMACY
FedAvg,103,41,0.39805825242718446,0.6067000856074579,0.7466561762391817,0.19479132581412717,0.8822658016468343,-0.26785573841977517,19,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY
FedProx,103,41,0.39805825242718446,0.6073863911718123,0.7470495672698663,0.19479400156605206,0.8823447846539778,-0.26795021242588035,19,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY
FedAvg-equal,103,41,0.39805825242718446,0.6184305879756093,0.7490165224232888,0.19278342556562011,0.9789064334486084,-0.24713816072952616,19,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY
FedAvg,273,138,0.5054945054945055,0.7224162811296075,0.7901234567901235,0.17764966450790545,1.0751555238215456,0.008923325370421292,19,HEALTHLINK PHARMACY
FedProx,273,138,0.5054945054945055,0.7224162811296075,0.7901234567901235,0.1776514051954953,1.0752506587934438,0.008813011094606138,19,HEALTHLINK PHARMACY
FedAvg-equal,273,138,0.5054945054945055,0.7248729887917262,0.7900697799248523,0.179037465273301,1.1478423456831048,0.002744260076132879,19,HEALTHLINK PHARMACY
FedAvg,153,65,0.42483660130718953,0.654557089280141,0.7767482517482518,0.19007886240279934,0.9665813907934117,-0.37133917774649505,19,KENLINK KENSINGTON PHARMACY
FedProx,153,65,0.42483660130718953,0.654557089280141,0.7767482517482518,0.1900784348490869,0.9666614857686988,-0.37140971633985315,19,KENLINK KENSINGTON PHARMACY
FedAvg-equal,153,65,0.42483660130718953,0.6423950874789599,0.7681818181818182,0.1936877064701597,0.9730354101133611,-0.3372668619037157,19,KENLINK KENSINGTON PHARMACY
FedAvg,118,40,0.3389830508474576,0.5190138687699887,0.742948717948718,0.23126337264075675,1.012578155206496,-0.9828875843999225,19,MEDICINE CHEST
FedProx,118,40,0.3389830508474576,0.5190138687699887,0.742948717948718,0.2312693102734388,1.0125147036991882,-0.9827855490337829,19,MEDICINE CHEST
FedAvg-equal,118,40,0.3389830508474576,0.5313478189660733,0.7506410256410256,0.22854346196678457,1.1606780752628592,-1.0239815772333498,19,MEDICINE CHEST
FedAvg,1981,958,0.48359414437152953,0.7028185798252409,0.7692202515422935,0.19399677276626617,0.908387627902843,-0.1801645853666227,19,ROWLAND SQUARE PHARMACY
FedProx,1981,958,0.48359414437152953,0.7028206980323417,0.7692182107967683,0.19399998417440995,0.9084266414012118,-0.18018177640208063,19,ROWLAND SQUARE PHARMACY
FedAvg-equal,1981,958,0.48359414437152953,0.7069842283079849,0.7706161214814996,0.19363319139122687,1.0232392179799208,-0.2468065871003589,19,ROWLAND SQUARE PHARMACY
FedAvg,121,59,0.48760330578512395,0.6719414905599073,0.7162383816293056,0.2125554329127074,0.7610275850502765,-0.16747913460028865,19,SOMMERDRIFT INV T/A KENLINK THE BRIDGE
FedProx,121,59,0.48760330578512395,0.6717979571960349,0.7159650082012029,0.21255338092201748,0.7611072139106755,-0.1675064256983241,19,SOMMERDRIFT INV T/A KENLINK THE BRIDGE
FedAvg-equal,121,59,0.48760330578512395,0.6899303662641897,0.7230727173318753,0.21014443731840654,0.8392594070685058,-0.18312795744820035,19,SOMMERDRIFT INV T/A KENLINK THE BRIDGE
