experiment,seed,scenario,scenario_label,round,n_min_attend,n_attend_vm,active_clients,auroc_holdout,comm_cost_bidir
cimas_cold_vm,11,C0,No incentive,29,5124,4647,23,0.78663,966
cimas_cold_vm,11,C1,Random allocation,29,5124,5124,23,0.78694,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,29,5124,5124,23,0.78655,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,29,5124,5124,23,0.78655,966
cimas_cold_vm,11,C0,No incentive,30,5031,4568,23,0.78621,966
cimas_cold_vm,11,C1,Random allocation,30,5031,5031,23,0.78658,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,30,5031,5031,23,0.78652,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,30,5031,5031,23,0.78652,966
cimas_cold_vm,19,C0,No incentive,1,5007,4553,23,0.7863,966
cimas_cold_vm,19,C1,Random allocation,1,5007,5007,23,0.78651,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,1,5007,5007,23,0.78646,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,1,5007,5007,23,0.78646,966
cimas_cold_vm,19,C0,No incentive,2,4981,4524,23,0.78623,966
cimas_cold_vm,19,C1,Random allocation,2,4981,4981,23,0.78606,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,2,4981,4981,23,0.78617,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,2,4981,4981,23,0.78617,966
cimas_cold_vm,19,C0,No incentive,3,5057,4620,23,0.78622,966
cimas_cold_vm,19,C1,Random allocation,3,5057,5057,23,0.78624,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,3,5057,5057,23,0.78625,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,3,5057,5057,23,0.7863,966
cimas_cold_vm,19,C0,No incentive,4,5089,4605,23,0.78657,966
cimas_cold_vm,19,C1,Random allocation,4,5089,5089,23,0.78652,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,4,5089,5089,23,0.78652,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,4,5089,5089,23,0.7865,966
cimas_cold_vm,19,C0,No incentive,5,4976,4519,23,0.78661,966
cimas_cold_vm,19,C1,Random allocation,5,4976,4976,23,0.78664,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,5,4976,4976,23,0.78675,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,5,4976,4976,23,0.78662,966
cimas_cold_vm,19,C0,No incentive,6,5042,4567,23,0.78668,966
cimas_cold_vm,19,C1,Random allocation,6,5042,5042,23,0.7864,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,6,5042,5042,23,0.78659,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,6,5042,5042,23,0.78659,966
cimas_cold_vm,19,C0,No incentive,7,5081,4625,23,0.78545,966
cimas_cold_vm,19,C1,Random allocation,7,5081,5081,23,0.78569,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,7,5081,5081,23,0.78582,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,7,5081,5081,23,0.78584,966
