ratio,prox_norm,data_norm,client,round,step,mu
0.015251422998923604,0.007401392437935069,0.48529192577357766,CIMAS HCC CHITUNGWIZA PHARMACY,1,7,0.1
0.01767416324315997,0.008328878323717512,0.47124597691722964,CIMAS HCC CHITUNGWIZA PHARMACY,1,8,0.1
0.02015872016105414,0.00922743819304975,0.45773928698493477,CIMAS HCC CHITUNGWIZA PHARMACY,1,9,0.1
0.0227050179080073,0.010098167677342841,0.44475488714684325,CIMAS HCC CHITUNGWIZA PHARMACY,1,10,0.1
0.0040384252500208296,0.0009569486318916388,0.23696083811052415,ASHBRITTLE   PHARMACY,2,2,0.1
0.006114652596311062,0.001419186145259936,0.23209595686860832,ASHBRITTLE   PHARMACY,2,3,0.1
0.008228003417586137,0.0018710741165315434,0.22740317687914421,ASHBRITTLE   PHARMACY,2,4,0.1
0.010377746640893179,0.0023129526920668882,0.22287619577768183,ASHBRITTLE   PHARMACY,2,5,0.1
0.012563101876207518,0.002745149651998976,0.21850890640295176,ASHBRITTLE   PHARMACY,2,6,0.1
0.014783242658256103,0.003167980830804435,0.21429539540401107,ASHBRITTLE   PHARMACY,2,7,0.1
0.017037299782502627,0.003581750530843159,0.21022994116248575,ASHBRITTLE   PHARMACY,2,8,0.1
0.01932436472084597,0.003986751927835964,0.20630701114512157,ASHBRITTLE   PHARMACY,2,9,0.1
0.021643493101401363,0.004383267467451963,0.2025212587873885,ASHBRITTLE   PHARMACY,2,10,0.1
0.004033724403356515,0.001168504009353718,0.28968365027154325,BALLANTYNE PARK PHARMACY,2,2,0.1
0.006100103313402493,0.001734919928995963,0.2844082861980686,BALLANTYNE PARK PHARMACY,2,3,0.1
0.008198026495408078,0.002289994965723177,0.2793349066395261,BALLANTYNE PARK PHARMACY,2,4,0.1
0.010326349619389656,0.002834121242427866,0.2744552864166319,BALLANTYNE PARK PHARMACY,2,5,0.1
0.01248390034289738,0.003367675364918077,0.26976147457265554,BALLANTYNE PARK PHARMACY,2,6,0.1
0.014669484207628357,0.003891018989496564,0.2652457942231653,BALLANTYNE PARK PHARMACY,2,7,0.1
0.01688189032524017,0.004404499382029654,0.2609008409114275,BALLANTYNE PARK PHARMACY,2,8,0.1
0.019119896829607626,0.004908449966471192,0.2567194797238831,BALLANTYNE PARK PHARMACY,2,9,0.1
0.021382276074941264,0.005403190861224586,0.2526948413857961,BALLANTYNE PARK PHARMACY,2,10,0.1
0.004048684406642956,0.0014673690937636377,0.3624310878259674,CIMAS BORROWDALE OFFICE PARK PHARMACY,2,2,0.1
0.006145503936761661,0.002170860397155159,0.3532436752939551,CIMAS BORROWDALE OFFICE PARK PHARMACY,2,3,0.1
0.00828979755343265,0.0028552578830910455,0.3444303512464833,CIMAS BORROWDALE OFFICE PARK PHARMACY,2,4,0.1
0.010480798936721188,0.0035212992836418117,0.33597622708936487,CIMAS BORROWDALE OFFICE PARK PHARMACY,2,5,0.1
0.01271764299911524,0.004169692457051877,0.3278667640963,CIMAS BORROWDALE OFFICE PARK PHARMACY,2,6,0.1
0.014999372443749038,0.004801116254273874,0.32008780849192997,CIMAS BORROWDALE OFFICE PARK PHARMACY,2,7,0.1
0.01732494436201565,0.0054162214308598276,0.31262561758840096,CIMAS BORROWDALE OFFICE PARK PHARMACY,2,8,0.1
0.01969323686493351,0.006015631589235314,0.3054668783244549,CIMAS BORROWDALE OFFICE PARK PHARMACY,2,9,0.1
0.022103055739933125,0.006599944138776893,0.2985987194002734,CIMAS BORROWDALE OFFICE PARK PHARMACY,2,10,0.1
0.004055477058797209,0.002251079436352527,0.5550714265463412,CIMAS BULAWAYO PHARMACY,2,2,0.1
0.006166554931365789,0.003324929908067268,0.5391875925981335,CIMAS BULAWAYO PHARMACY,2,3,0.1
0.00833322622993347,0.00436611701813565,0.5239407760768914,CIMAS BULAWAYO PHARMACY,2,4,0.1
0.01055536714747056,0.005375926095460289,0.5093073523973585,CIMAS BULAWAYO PHARMACY,2,5,0.1
0.012832750726962893,0.0063555924647210466,0.4952634551972798,CIMAS BULAWAYO PHARMACY,2,6,0.1
0.015165058720962727,0.007306301612891593,0.4817852503790216,CIMAS BULAWAYO PHARMACY,2,7,0.1
0.01755189212568695,0.008229189788540887,0.4688491548154846,CIMAS BULAWAYO PHARMACY,2,8,0.1
0.01999278049556363,0.00912534493937354,0.4564320076138704,CIMAS BULAWAYO PHARMACY,2,9,0.1
0.022487190153097355,0.00999580790805553,0.44451120126623384,CIMAS BULAWAYO PHARMACY,2,10,0.1
0.004050684354158321,0.0015914480394838993,0.3928837451504121,CIMAS CLINIC -MASVINGO PHARMACY,2,2,0.1
0.0061520233305395865,0.0023532724535550455,0.3825200795115715,CIMAS CLINIC -MASVINGO PHARMACY,2,3,0.1
0.008303898299345582,0.0030935955741503867,0.3725473822811857,CIMAS CLINIC -MASVINGO PHARMACY,2,4,0.1
0.01050610732255892,0.003813203087561134,0.362951088399159,CIMAS CLINIC -MASVINGO PHARMACY,2,5,0.1
0.012758370377222753,0.0045128507808884786,0.35371686567002125,CIMAS CLINIC -MASVINGO PHARMACY,2,6,0.1
0.01506033422995243,0.00519326519404756,0.34483067339362516,CIMAS CLINIC -MASVINGO PHARMACY,2,7,0.1
0.01741157698488221,0.0058551443600163445,0.3362788083526344,CIMAS CLINIC -MASVINGO PHARMACY,2,8,0.1
0.01981161233009526,0.006499158611814566,0.32804793994186315,CIMAS CLINIC -MASVINGO PHARMACY,2,9,0.1
0.022259893509035532,0.007125951437894017,0.3201251360435088,CIMAS CLINIC -MASVINGO PHARMACY,2,10,0.1
0.004054752239791357,0.0018154237569581108,0.44772741948137523,CIMAS FIFE AVENUE PHARMACY,2,2,0.1
0.006164321604521483,0.002681898473153022,0.43506790287934843,CIMAS FIFE AVENUE PHARMACY,2,3,0.1
0.008328667384089113,0.0035223005148817864,0.42291285657663613,CIMAS FIFE AVENUE PHARMACY,2,4,0.1
0.010547652874232868,0.004337641940525185,0.4112423865523412,CIMAS FIFE AVENUE PHARMACY,2,5,0.1
0.01282105396238785,0.005128893798141323,0.400036831073917,CIMAS FIFE AVENUE PHARMACY,2,6,0.1
0.01514856676326916,0.005896986930033189,0.38927688818269307,CIMAS FIFE AVENUE PHARMACY,2,7,0.1
0.017529814382467108,0.006642812968870846,0.37894371405979205,CIMAS FIFE AVENUE PHARMACY,2,8,0.1
0.019964352892550767,0.007367225476813639,0.3690189968322263,CIMAS FIFE AVENUE PHARMACY,2,9,0.1
0.022451676607327577,0.008071041187117167,0.3594850098848748,CIMAS FIFE AVENUE PHARMACY,2,10,0.1
0.004055762396770814,0.002002245919358055,0.49367929466288196,CIMAS FOURTH STREET PHARMACY,2,2,0.1
0.006167259490674903,0.002957194632884708,0.4794989796288096,CIMAS FOURTH STREET PHARMACY,2,3,0.1
0.008334343520708118,0.0038829985056267366,0.46590334271424677,CIMAS FOURTH STREET PHARMACY,2,4,0.1
0.010556758306961624,0.0047808241554298195,0.452868581094361,CIMAS FOURTH STREET PHARMACY,2,5,0.1
0.012834149643901482,0.005651789400499825,0.4403711626648702,CIMAS FOURTH STREET PHARMACY,2,6,0.1
0.015166074535124599,0.006496964236370324,0.4283879933019825,CIMAS FOURTH STREET PHARMACY,2,7,0.1
0.017552009375272324,0.007317372059685303,0.41689654461979636,CIMAS FOURTH STREET PHARMACY,2,8,0.1
0.019991357190289088,0.008113991074030128,0.40587494869890794,CIMAS FOURTH STREET PHARMACY,2,9,0.1
0.022483454046273794,0.008887755824261965,0.3953020655086998,CIMAS FOURTH STREET PHARMACY,2,10,0.1
0.0040529312871847144,0.0017858800060619599,0.44063910279181784,CIMAS HCC  MUTARE PHARMACY,2,2,0.1
0.006158630945318417,0.0026394071215741976,0.4285704314821114,CIMAS HCC  MUTARE PHARMACY,2,3,0.1
0.008316822226939037,0.0034680231390611903,0.4169889705983986,CIMAS HCC  MUTARE PHARMACY,2,4,0.1
0.010527124083894775,0.004272700917245075,0.40587542078864536,CIMAS HCC  MUTARE PHARMACY,2,5,0.1
0.012789060073627498,0.00505437377155813,0.39521073030072207,CIMAS HCC  MUTARE PHARMACY,2,6,0.1
0.015102066652559362,0.0058139362823292975,0.38497620332936383,CIMAS HCC  MUTARE PHARMACY,2,7,0.1
0.017465500879605474,0.006552245265677672,0.3751535848209628,CIMAS HCC  MUTARE PHARMACY,2,8,0.1
0.019878647560739888,0.007270120867350068,0.36572512516940425,CIMAS HCC  MUTARE PHARMACY,2,9,0.1
0.02234072587044527,0.007968347745901,0.3566736278897004,CIMAS HCC  MUTARE PHARMACY,2,10,0.1
0.004056900005987968,0.002153536699305935,0.5308330735604336,CIMAS HCC CHINHOYI ST. PHARM,2,2,0.1
0.006170872684736557,0.0031797822966680364,0.5152889160285415,CIMAS HCC CHINHOYI ST. PHARM,2,3,0.1
0.008341967654485694,0.00417412656660539,0.5003767383778878,CIMAS HCC CHINHOYI ST. PHARM,2,4,0.1
0.010570125633037776,0.0051378404140310484,0.4860718398627463,CIMAS HCC CHINHOYI ST. PHARM,2,5,0.1
0.012855190902124995,0.006072143146136676,0.47234951175504797,CIMAS HCC CHINHOYI ST. PHARM,2,6,0.1
0.015196922205821183,0.006978203049052469,0.45918528466109193,CIMAS HCC CHINHOYI ST. PHARM,2,7,0.1
0.0175950022292889,0.007857138343372393,0.44655512065200453,CIMAS HCC CHINHOYI ST. PHARM,2,8,0.1
0.02004904581362517,0.008710018426622897,0.4344355590580595,CIMAS HCC CHINHOYI ST. PHARM,2,9,0.1
0.022558607060074756,0.009537865326475478,0.4228038238830812,CIMAS HCC CHINHOYI ST. PHARM,2,10,0.1
0.004054639264724711,0.0017414717980101955,0.4295010441892991,CIMAS HCC CHITUNGWIZA PHARMACY,2,2,0.1
0.006164046077987144,0.0025727141249810358,0.41737425263069255,CIMAS HCC CHITUNGWIZA PHARMACY,2,3,0.1
0.008328243770752199,0.0033789711451959422,0.4057243325492569,CIMAS HCC CHITUNGWIZA PHARMACY,2,4,0.1
0.010547159146818632,0.00416120269619328,0.39453303380260785,CIMAS HCC CHITUNGWIZA PHARMACY,2,5,0.1
0.012820630185902472,0.004920330717637611,0.3837822826406765,CIMAS HCC CHITUNGWIZA PHARMACY,2,6,0.1
0.015148413045055018,0.00565723991862937,0.37345429529835106,CIMAS HCC CHITUNGWIZA PHARMACY,2,7,0.1
0.017530188394292337,0.006372778620521722,0.36353166761154937,CIMAS HCC CHITUNGWIZA PHARMACY,2,8,0.1
0.01996556713194871,0.007067759734162679,0.35399744407224565,CIMAS HCC CHITUNGWIZA PHARMACY,2,9,0.1
0.02245409553077688,0.00774296183672108,0.34483516942858505,CIMAS HCC CHITUNGWIZA PHARMACY,2,10,0.1
0.004022970902035306,0.0006990268935389346,0.17375887386739045,ASHBRITTLE   PHARMACY,3,2,0.1
0.006068192094122096,0.001040561002473851,0.171477927253124,ASHBRITTLE   PHARMACY,3,3,0.1
0.008134946364737636,0.0013769641773457514,0.16926530497047235,ASHBRITTLE   PHARMACY,3,4,0.1
0.010222521291415793,0.0017083716621731082,0.16711842543264618,ASHBRITTLE   PHARMACY,3,5,0.1
0.012330210520987253,0.0020349139598333193,0.1650348107495563,ASHBRITTLE   PHARMACY,3,6,0.1
0.014457314942845337,0.002356717021230636,0.16301208284854668,ASHBRITTLE   PHARMACY,3,7,0.1
0.01660314375718781,0.002673902426694747,0.16104795969963007,ASHBRITTLE   PHARMACY,3,8,0.1
0.018767015440696182,0.002986587559894938,0.1591402516469687,ASHBRITTLE   PHARMACY,3,9,0.1
0.02094825861256702,0.003294885774550442,0.15728685784764063,ASHBRITTLE   PHARMACY,3,10,0.1
0.004019925718786083,0.0009359442239003221,0.2328262483872348,BALLANTYNE PARK PHARMACY,3,2,0.1
0.006058937795092771,0.0013942769405662636,0.23011903863669148,BALLANTYNE PARK PHARMACY,3,3,0.1
0.008116212328516474,0.0018464182752879672,0.22749753216787338,BALLANTYNE PARK PHARMACY,3,4,0.1
0.010190942225768369,0.0022925361090398665,0.2249582087947727,BALLANTYNE PARK PHARMACY,3,5,0.1
0.012282338362905806,0.0027327920313052006,0.2224976995877734,BALLANTYNE PARK PHARMACY,3,6,0.1
0.014389630572477692,0.0031673416039485463,0.22011278107490528,BALLANTYNE PARK PHARMACY,3,7,0.1
0.016512068465026047,0.0035963346140640996,0.21780036957098617,BALLANTYNE PARK PHARMACY,3,8,0.1
0.018648922094756784,0.004019915316176616,0.2155575156435894,BALLANTYNE PARK PHARMACY,3,9,0.1
0.02079948247943629,0.004438222664172799,0.21338139872281495,BALLANTYNE PARK PHARMACY,3,10,0.1
0.004039258099667781,0.0011168560334241207,0.27650028937640286,CIMAS BORROWDALE OFFICE PARK PHARMACY,3,2,0.1
0.006116734838297762,0.0016560504835534885,0.2707409307960706,CIMAS BORROWDALE OFFICE PARK PHARMACY,3,3,0.1
0.008231338193327142,0.0021830589698156335,0.2652131304221424,CIMAS BORROWDALE OFFICE PARK PHARMACY,3,4,0.1
0.01038192943311543,0.002698333022961331,0.25990670042067604,CIMAS BORROWDALE OFFICE PARK PHARMACY,3,5,0.1
0.01256732893700686,0.003202304617019229,0.25481187236131314,CIMAS BORROWDALE OFFICE PARK PHARMACY,3,6,0.1
0.014786321958773423,0.003695387026327883,0.249919285988172,CIMAS BORROWDALE OFFICE PARK PHARMACY,3,7,0.1
0.017037664308648504,0.004177975653499805,0.24521997721125535,CIMAS BORROWDALE OFFICE PARK PHARMACY,3,8,0.1
0.019320087928778984,0.004650448827525898,0.24070536555885144,CIMAS BORROWDALE OFFICE PARK PHARMACY,3,9,0.1
0.02163230633704152,0.005113168571621784,0.23636724128977327,CIMAS BORROWDALE OFFICE PARK PHARMACY,3,10,0.1
0.004051411408756692,0.0018624422087422867,0.4597020694360531,CIMAS BULAWAYO PHARMACY,3,2,0.1
0.006153978383988703,0.002753596600779089,0.44744983309387976,CIMAS BULAWAYO PHARMACY,3,3,0.1
0.008307377413886161,0.003619425372491851,0.4356880868854972,CIMAS BULAWAYO PHARMACY,3,4,0.1
0.010511224719933028,0.004460910271962701,0.4243949102813134,CIMAS BULAWAYO PHARMACY,3,5,0.1
0.012765082773395846,0.005278989034687008,0.4135491424849303,CIMAS BULAWAYO PHARMACY,3,6,0.1
0.015068466025275049,0.006074557061659905,0.40313042160169216,CIMAS BULAWAYO PHARMACY,3,7,0.1
0.01742084594216609,0.006848469137629417,0.39311920674604656,CIMAS BULAWAYO PHARMACY,3,8,0.1
0.01982165543224639,0.0076015411625852715,0.38349678656096936,CIMAS BULAWAYO PHARMACY,3,9,0.1
0.022270292737209617,0.008334551875314076,0.37424527704517113,CIMAS BULAWAYO PHARMACY,3,10,0.1
0.004044386363511965,0.0012384145850219644,0.30620580570511574,CIMAS CLINIC -MASVINGO PHARMACY,3,2,0.1
0.0061327368977700265,0.001834012565132066,0.29905286916824136,CIMAS CLINIC -MASVINGO PHARMACY,3,3,0.1
0.00826457923553221,0.002414611135141486,0.29216383149431974,CIMAS CLINIC -MASVINGO PHARMACY,3,4,0.1
0.010439393746100797,0.0029807370313256224,0.28552779058065064,CIMAS CLINIC -MASVINGO PHARMACY,3,5,0.1
0.012656616304258086,0.003532895381755968,0.279134272291038,CIMAS CLINIC -MASVINGO PHARMACY,3,6,0.1
0.014915640935216546,0.004071570589728441,0.2729732237060807,CIMAS CLINIC -MASVINGO PHARMACY,3,7,0.1
0.017215822352032232,0.004597227197265305,0.26703500438494177,CIMAS CLINIC -MASVINGO PHARMACY,3,8,0.1
0.019556478400220612,0.0051103107257531415,0.26131037608977153,CIMAS CLINIC -MASVINGO PHARMACY,3,9,0.1
0.021936892422592127,0.005611248491528806,0.2557904913528205,CIMAS CLINIC -MASVINGO PHARMACY,3,10,0.1
0.004049604392904489,0.0014385291119293263,0.3552270721678008,CIMAS FIFE AVENUE PHARMACY,3,2,0.1
0.006148519572774713,0.0021277388245205943,0.3460570954253928,CIMAS FIFE AVENUE PHARMACY,3,3,0.1
0.008296396118126778,0.002797919484570313,0.33724516582051145,CIMAS FIFE AVENUE PHARMACY,3,4,0.1
0.01049283255398039,0.003449785185850045,0.3287753967389283,CIMAS FIFE AVENUE PHARMACY,3,5,0.1
0.012737378678177876,0.00408401847045579,0.3206325707700497,CIMAS FIFE AVENUE PHARMACY,3,6,0.1
0.015029538512529849,0.004701271711940192,0.31280213348006847,CIMAS FIFE AVENUE PHARMACY,3,7,0.1
0.017368772933550786,0.005302168472335153,0.3052701818729577,CIMAS FIFE AVENUE PHARMACY,3,8,0.1
0.019754502031876082,0.00588730482522636,0.29802344881822584,CIMAS FIFE AVENUE PHARMACY,3,9,0.1
0.022186107244048237,0.006457250639107983,0.29104928449492823,CIMAS FIFE AVENUE PHARMACY,3,10,0.1
0.004050581418813257,0.001614261859438937,0.3985259627028766,CIMAS FOURTH STREET PHARMACY,3,2,0.1
0.006151343744798761,0.002387124746381966,0.3880655748429581,CIMAS FOURTH STREET PHARMACY,3,3,0.1
0.008301822136512657,0.0031383303749319908,0.37802910292779507,CIMAS FOURTH STREET PHARMACY,3,4,0.1
0.010501492437588756,0.0038687192484989845,0.368397089412872,CIMAS FOURTH STREET PHARMACY,3,5,0.1
0.012749775636075282,0.004579093483780339,0.35915090700293334,CIMAS FOURTH STREET PHARMACY,3,6,0.1
0.015046041846960083,0.005270218526824128,0.3502727548168376,CIMAS FOURTH STREET PHARMACY,3,7,0.1
0.017389613888380267,0.005942824841193068,0.34174564653008543,CIMAS FOURTH STREET PHARMACY,3,8,0.1
0.019779770514024523,0.0065976095565204885,0.3335533924340811,CIMAS FOURTH STREET PHARMACY,3,9,0.1
0.022215749356703906,0.00723523806883193,0.32568057699339314,CIMAS FOURTH STREET PHARMACY,3,10,0.1
