seed,condition,round,client_id,n_train,n_test,prevalence,auroc
7,cold_fed,7,CIMAS HCC CHINHOYI ST. PHARM,1077,270,0.4444444444444444,0.8406111111111112
7,cold_fed,7,CIMAS HCC CHITUNGWIZA PHARMACY,495,124,0.5403225806451613,0.7423409269442262
7,cold_fed,7,CIMAS HCC GWERU PHARMACY,324,82,0.5365853658536586,0.8415071770334929
7,cold_fed,7,CIMAS HIGH GLEN PHARMACY,671,168,0.42857142857142855,0.8314525462962963
7,cold_fed,7,CIMAS KWEKWE CLINIC- PHARMACY,302,76,0.32894736842105265,0.8156862745098039
7,cold_fed,7,CIMAS MANRESA - PHARRMACY,351,88,0.45454545454545453,0.6973958333333333
7,cold_fed,7,CLIQUE PHARMACY,94,24,0.4166666666666667,0.9428571428571428
7,cold_fed,7,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,82,21,0.38095238095238093,0.8461538461538461
7,cold_fed,7,HEALTHLINK PHARMACY,218,55,0.509090909090909,0.9537037037037037
7,cold_fed,7,KENLINK KENSINGTON PHARMACY,122,31,0.41935483870967744,0.7564102564102564
7,cold_fed,7,MEDICINE CHEST,94,24,0.3333333333333333,0.6875
7,cold_fed,7,ROWLAND SQUARE PHARMACY,1584,397,0.4836272040302267,0.7784806910569104
7,cold_fed,7,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,96,25,0.48,0.9038461538461539
7,cold_fed,7,TRINITY PHARMACY -AVENUES,150,38,0.34210526315789475,0.8461538461538461
7,cold_fed,7,WATERSHED PHARMACY,97,25,0.36,0.7916666666666667
7,cold_fed,8,ASHBRITTLE   PHARMACY,88,22,0.36363636363636365,0.6428571428571429
7,cold_fed,8,BALLANTYNE PARK PHARMACY,91,23,0.30434782608695654,0.6071428571428571
7,cold_fed,8,CIMAS BORROWDALE OFFICE PARK PHARMACY,230,58,0.5172413793103449,0.6797619047619048
7,cold_fed,8,CIMAS BULAWAYO PHARMACY,858,215,0.5209302325581395,0.8626040221914009
7,cold_fed,8,CIMAS CLINIC -MASVINGO PHARMACY,236,60,0.48333333333333334,0.8064516129032259
7,cold_fed,8,CIMAS FIFE AVENUE PHARMACY,387,97,0.422680412371134,0.7378048780487805
7,cold_fed,8,CIMAS FOURTH STREET PHARMACY,1812,454,0.4008810572687225,0.8054096638655461
7,cold_fed,8,CIMAS HCC  MUTARE PHARMACY,650,163,0.5153374233128835,0.7305605786618445
7,cold_fed,8,CIMAS HCC CHINHOYI ST. PHARM,1077,270,0.4444444444444444,0.8412222222222222
7,cold_fed,8,CIMAS HCC CHITUNGWIZA PHARMACY,495,124,0.5403225806451613,0.7428646242471851
7,cold_fed,8,CIMAS HCC GWERU PHARMACY,324,82,0.5365853658536586,0.8421052631578948
7,cold_fed,8,CIMAS HIGH GLEN PHARMACY,671,168,0.42857142857142855,0.8313078703703703
7,cold_fed,8,CIMAS KWEKWE CLINIC- PHARMACY,302,76,0.32894736842105265,0.8133333333333334
7,cold_fed,8,CIMAS MANRESA - PHARRMACY,351,88,0.45454545454545453,0.696875
7,cold_fed,8,CLIQUE PHARMACY,94,24,0.4166666666666667,0.9428571428571428
7,cold_fed,8,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,82,21,0.38095238095238093,0.8557692307692307
7,cold_fed,8,HEALTHLINK PHARMACY,218,55,0.509090909090909,0.9537037037037037
7,cold_fed,8,KENLINK KENSINGTON PHARMACY,122,31,0.41935483870967744,0.7564102564102564
7,cold_fed,8,MEDICINE CHEST,94,24,0.3333333333333333,0.6953125
7,cold_fed,8,ROWLAND SQUARE PHARMACY,1584,397,0.4836272040302267,0.7788363821138211
7,cold_fed,8,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,96,25,0.48,0.9038461538461539
7,cold_fed,8,TRINITY PHARMACY -AVENUES,150,38,0.34210526315789475,0.8461538461538461
7,cold_fed,8,WATERSHED PHARMACY,97,25,0.36,0.7916666666666667
7,cold_fed,9,ASHBRITTLE   PHARMACY,88,22,0.36363636363636365,0.6428571428571429
7,cold_fed,9,BALLANTYNE PARK PHARMACY,91,23,0.30434782608695654,0.6071428571428571
7,cold_fed,9,CIMAS BORROWDALE OFFICE PARK PHARMACY,230,58,0.5172413793103449,0.680952380952381
7,cold_fed,9,CIMAS BULAWAYO PHARMACY,858,215,0.5209302325581395,0.8636442441054092
7,cold_fed,9,CIMAS CLINIC -MASVINGO PHARMACY,236,60,0.48333333333333334,0.8042269187986651
7,cold_fed,9,CIMAS FIFE AVENUE PHARMACY,387,97,0.422680412371134,0.7386759581881533
7,cold_fed,9,CIMAS FOURTH STREET PHARMACY,1812,454,0.4008810572687225,0.8059550743374273
7,cold_fed,9,CIMAS HCC  MUTARE PHARMACY,650,163,0.5153374233128835,0.731012658227848
7,cold_fed,9,CIMAS HCC CHINHOYI ST. PHARM,1077,270,0.4444444444444444,0.8411111111111111
7,cold_fed,9,CIMAS HCC CHITUNGWIZA PHARMACY,495,124,0.5403225806451613,0.7433883215501441
7,cold_fed,9,CIMAS HCC GWERU PHARMACY,324,82,0.5365853658536586,0.8421052631578948
7,cold_fed,9,CIMAS HIGH GLEN PHARMACY,671,168,0.42857142857142855,0.8305844907407407
7,cold_fed,9,CIMAS KWEKWE CLINIC- PHARMACY,302,76,0.32894736842105265,0.8141176470588235
7,cold_fed,9,CIMAS MANRESA - PHARRMACY,351,88,0.45454545454545453,0.6963541666666667
7,cold_fed,9,CLIQUE PHARMACY,94,24,0.4166666666666667,0.9428571428571428
7,cold_fed,9,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,82,21,0.38095238095238093,0.8557692307692307
