seed,condition,round,n_providers,mean_auroc,min_auroc,max_auroc,var_auroc,iqr_auroc,q25_auroc,q75_auroc
7,cold_local,31,23,0.7920760417254501,0.5803571428571428,0.9444444444444444,0.00883395589202071,0.1255051919061354,0.7334978706929927,0.8590030625991281
7,cold_local,32,23,0.7911718379829885,0.5803571428571428,0.9444444444444444,0.008741674178956185,0.12499379094123408,0.7334978706929927,0.8584916616342267
7,cold_local,33,23,0.7918037625985406,0.5803571428571428,0.9457671957671958,0.008719733402484615,0.12477602090639095,0.7337156407278358,0.8584916616342267
7,cold_local,34,23,0.7924546467742088,0.5803571428571428,0.9444444444444444,0.008778174181045269,0.12511840654834228,0.7337156407278358,0.8588340472761781
7,cold_local,35,23,0.7927077454536218,0.5803571428571428,0.9431216931216932,0.008734548589205667,0.1251444555955723,0.7345867208672087,0.859731176462781
7,cold_local,36,23,0.7920043478100502,0.5803571428571428,0.9431216931216932,0.008821378865811254,0.12458324278268629,0.735022260936895,0.8596055037195813
7,cold_local,37,23,0.7919263363940172,0.5892857142857143,0.9431216931216932,0.008756839454789556,0.12458324278268629,0.735022260936895,0.8596055037195813
7,cold_local,38,23,0.7918854343921486,0.5982142857142857,0.9431216931216932,0.008534963477581186,0.12493209769287195,0.7345867208672087,0.8595188185600806
7,cold_local,39,23,0.7912318585241053,0.5982142857142857,0.9431216931216932,0.008526619717111985,0.1283165776195021,0.7313322686798296,0.8596488462993317
7,cold_local,40,23,0.7913712219161656,0.5982142857142857,0.941798941798942,0.008524565071262464,0.12788103185948985,0.7315500387146728,0.8594310705741627
7,cold_local,41,23,0.7914521610496684,0.6071428571428571,0.941798941798942,0.008325852127285515,0.12427382492169081,0.7315500387146728,0.8558238636363636
7,cold_local,42,23,0.7910746890991769,0.6071428571428571,0.9404761904761904,0.008319491296172273,0.12383828485200443,0.7319855787843592,0.8558238636363636
7,cold_local,43,23,0.7909624831297535,0.6071428571428571,0.9391534391534392,0.008316276529481033,0.12400083090671987,0.7324211188540456,0.8564219497607655
7,cold_local,44,23,0.7913023955417672,0.6071428571428571,0.9391534391534392,0.008327369946879028,0.12446242002363639,0.732856658923732,0.8573190789473684
7,cold_local,45,23,0.7908171617819677,0.6071428571428571,0.9391534391534392,0.008403675589090718,0.12763559918365752,0.7293844367015099,0.8570200358851674
7,cold_local,46,23,0.7906050709653584,0.6071428571428571,0.937830687830688,0.008403168825583753,0.1274178291488144,0.729602206736353,0.8570200358851674
7,cold_local,47,23,0.7908579488070238,0.6071428571428571,0.937830687830688,0.008483436913371814,0.1269822890791279,0.7300377468060395,0.8570200358851674
7,cold_local,48,23,0.7897747417988188,0.6071428571428571,0.937830687830688,0.008458908811739337,0.12632897897459827,0.7306910569105691,0.8570200358851674
7,cold_local,49,23,0.7901185165558813,0.6160714285714286,0.937830687830688,0.008314289290042189,0.12632389202161542,0.730696143863552,0.8570200358851674
7,cold_local,50,23,0.79001725357252,0.6160714285714286,0.937830687830688,0.008306533456879416,0.12542676283501253,0.730696143863552,0.8561229066985645
7,cold_local,51,23,0.7903275986338612,0.6160714285714286,0.9365079365079364,0.00836647837908718,0.1257258058972135,0.730696143863552,0.8564219497607655
7,cold_local,52,23,0.7895981741563,0.6160714285714286,0.9365079365079364,0.00829532816922045,0.12628197942335362,0.7301399703374118,0.8564219497607655
7,cold_local,53,23,0.7895704163027163,0.6160714285714286,0.9365079365079364,0.008285405061821044,0.12683815294949374,0.7295837968112717,0.8564219497607655
7,cold_local,54,23,0.7889763020081016,0.6160714285714286,0.9351851851851852,0.008208944048730463,0.12683815294949374,0.7295837968112717,0.8564219497607655
7,cold_local,55,23,0.7889754521524374,0.6160714285714286,0.9351851851851852,0.008217524025628491,0.1279924126000358,0.7290276232851316,0.8570200358851674
7,cold_local,56,23,0.7886320438289272,0.6160714285714286,0.9351851851851852,0.008048577841461013,0.12061394037781348,0.7324998455073539,0.8531137858851674
7,cold_local,57,23,0.7884842549984754,0.6160714285714286,0.9351851851851852,0.00779568378921878,0.11726386390395371,0.7319436719812137,0.8492075358851674
7,cold_local,58,23,0.7874383544270455,0.6160714285714286,0.9351851851851852,0.007912128414270983,0.12073608612617592,0.7284714497589915,0.8492075358851674
7,cold_local,59,23,0.786594516552967,0.6160714285714286,0.9351851851851852,0.007896642253186321,0.12476448187453837,0.724443054010629,0.8492075358851674
7,cold_local,60,23,0.7864249002354893,0.6160714285714286,0.9351851851851852,0.007892743439206755,0.1253206554006785,0.7238868804844889,0.8492075358851674
7,warm_fed,31,23,0.7918768718075944,0.5803571428571428,0.941798941798942,0.007959400367948124,0.10598706214882492,0.7417052455434827,0.8476923076923076
7,warm_fed,32,23,0.7922531117768021,0.5803571428571428,0.941798941798942,0.007767433621218484,0.10459320658012228,0.7421332891463734,0.8467264957264957
7,warm_fed,33,23,0.7924288459348768,0.5803571428571428,0.941798941798942,0.007870875755477165,0.10062472759308194,0.7461573236889693,0.8467820512820512
7,warm_fed,34,23,0.79262237891393,0.5803571428571428,0.9431216931216932,0.007864728260791152,0.10048202114341365,0.746383363471971,0.8468653846153846
7,warm_fed,35,23,0.7914915397873128,0.5803571428571428,0.941798941798942,0.007856241920063492,0.10451118655430369,0.7423264202833032,0.8468376068376069
7,warm_fed,36,23,0.7916942889716911,0.5892857142857142,0.9404761904761904,0.00768529862672085,0.1044993822545246,0.7424771134719711,0.8469764957264957
7,warm_fed,37,23,0.7913567917214085,0.5892857142857142,0.9404761904761904,0.007585056834504816,0.10421778691596728,0.7427031532549728,0.8469209401709401
7,warm_fed,38,23,0.7917432834290995,0.5982142857142857,0.9404761904761904,0.007391563930725123,0.10251682788905891,0.7430045396323086,0.8455213675213675
7,warm_fed,39,23,0.7930665491311283,0.5982142857142857,0.9404761904761904,0.007321032048162693,0.10215988595616765,0.7433059260096444,0.845465811965812
