assigned_provider,n_pids,client_primary,client_sensitivity
CIVIC WESTGATE PHARMACY,1,False,False
DR O. KUSANGAYA,1,False,False
MORDEN SOLUTIONS PVT LTD T/A CORPORATE 24 PHARMACY,1,False,False
I-CARE PHARMACY,1,False,False
DIS-PHARM PHARMACY LETOMBO,1,False,False
OLIVE PHARMACY HAEMATOLOGY CENTRE,1,False,False
MUCHMADLEE INVESTMENTS T/A APEX PHARMACY,1,False,False
MEDIX OF HIGHLANDS PVT LTD PHARMACY,1,False,False
VIVAT HEALTH PHARMACY BULAWAYO,1,False,False
WHITEHOUSE PHARMACY,1,False,False
DEES PHARMACY,1,False,False
CHANNEL PHARMACEUTICALS T/A CHANNEL PHARMACY,1,False,False
BRADFORD PHARMACY,1,False,False
DOMBORAMWARI PHARMACY,1,False,False
M LINK PHARMACY,1,False,False
NULINK PHARMACY,1,False,False
VIVAT HEALTH PHARMACY CHINHOYI,1,False,False
