dataset,attack,f,f_pct,defense,krum_applicable,auroc_mean,auroc_lo95,auroc_hi95,degradation_mean,degradation_lo95,degradation_hi95,bsr_mean,bsr_lo95,bsr_hi95,conv_fail_rate,comm_params_round
cimas,backdoor,7,30.4,krum,True,0.791142,0.789892,0.792126,-0.0008299999999999974,-0.0019580000000000153,0.0,0.37691600000000003,0.37252705,0.38011895,0.0,966
cimas,backdoor,7,30.4,trimmed_mean,True,0.791214,0.790828,0.79171,-0.0007619999999999739,-0.001193999999999984,-0.00019999999999995577,0.38276600000000005,0.378738,0.386558,0.0,966
cimas,label_flip,2,8.7,clipping,True,0.7910320000000001,0.790624,0.7915089,-0.00010799999999999699,-0.0003490500000000102,0.0001380000000000381,,,,0.0,966
cimas,label_flip,2,8.7,coord_median,True,0.790604,0.7903699999999999,0.7908799999999999,0.00042199999999998906,0.0002639999999999976,0.0006011499999999963,,,,0.0,966
cimas,label_flip,2,8.7,fedavg,True,0.7910320000000001,0.790624,0.7915089,-0.00010799999999999699,-0.0003490500000000102,0.0001380000000000381,,,,0.0,966
cimas,label_flip,2,8.7,krum,True,0.7914420000000001,0.79025265,0.7923247999999999,-0.0005300000000000082,-0.0015900000000000248,0.0,,,,0.0,966
cimas,label_flip,2,8.7,trimmed_mean,True,0.7921720000000001,0.79173,0.7926454500000001,0.00019599999999999617,-0.0002059999999999951,0.0005380000000000162,,,,0.0,966
cimas,label_flip,5,21.7,clipping,True,0.79094,0.78992895,0.792146,-0.00019999999999997797,-0.001085999999999987,0.0008634500000000327,,,,0.0,966
cimas,label_flip,5,21.7,coord_median,True,0.7916179999999999,0.7910179999999999,0.792254,0.0014359999999999707,0.00070599999999994,0.0021433500000000057,,,,0.0,966
cimas,label_flip,5,21.7,fedavg,True,0.79094,0.78992895,0.792146,-0.00019999999999997797,-0.001085999999999987,0.0008634500000000327,,,,0.0,966
cimas,label_flip,5,21.7,krum,True,0.7919720000000001,0.7916866499999999,0.79239335,0.0,0.0,0.0,,,,0.0,966
cimas,label_flip,5,21.7,trimmed_mean,True,0.79195,0.790952,0.7928453,-2.5999999999992697e-05,-0.0010299999999999975,0.0009300000000000086,,,,0.0,966
cimas,label_flip,7,30.4,clipping,True,0.790938,0.790146,0.7919369,-0.00020199999999996886,-0.0009199999999999653,0.0008340000000000236,,,,0.0,966
cimas,label_flip,7,30.4,coord_median,True,0.7922319999999999,0.7914819999999999,0.7932079999999999,0.0020499999999999963,0.0011842499999999924,0.0030240000000000267,,,,0.0,966
cimas,label_flip,7,30.4,fedavg,True,0.790938,0.790146,0.7919369,-0.00020199999999996886,-0.0009199999999999653,0.0008340000000000236,,,,0.0,966
cimas,label_flip,7,30.4,krum,True,0.791132,0.789862,0.792126,-0.0008399999999999963,-0.001988000000000012,0.0,,,,0.0,966
cimas,label_flip,7,30.4,trimmed_mean,True,0.792338,0.79139895,0.793224,0.00036200000000001785,-0.0005499999999999839,0.0012552500000000276,,,,0.0,966
cimas,model_replace,2,8.7,clipping,True,0.785486,0.782868,0.7869690500000001,-0.005653999999999981,-0.008278000000000008,-0.004171999999999931,,,,0.0,966
cimas,model_replace,2,8.7,coord_median,True,0.79054,0.790268,0.79082735,0.0003579999999999917,0.00014999999999996128,0.0006292500000000016,,,,0.0,966
cimas,model_replace,2,8.7,fedavg,True,0.785486,0.782868,0.7869690500000001,-0.005653999999999981,-0.008278000000000008,-0.004171999999999931,,,,0.0,966
cimas,model_replace,2,8.7,krum,True,0.7914420000000001,0.79025265,0.7923247999999999,-0.0005300000000000082,-0.0015900000000000248,0.0,,,,0.0,966
cimas,model_replace,2,8.7,trimmed_mean,True,0.791944,0.791522,0.7924155500000001,-3.199999999998759e-05,-0.00032200000000002225,0.00031400000000001425,,,,0.0,966
cimas,model_replace,5,21.7,clipping,True,0.786618,0.78634,0.786896,-0.0045220000000000034,-0.004909149999999995,-0.004148000000000018,,,,0.0,966
cimas,model_replace,5,21.7,coord_median,True,0.7910619999999999,0.790686,0.79145,0.0008800000000000141,0.00031779999999998534,0.0014701500000000418,,,,0.0,966
cimas,model_replace,5,21.7,fedavg,True,0.786618,0.78634,0.786896,-0.0045220000000000034,-0.004909149999999995,-0.004148000000000018,,,,0.0,966
cimas,model_replace,5,21.7,krum,True,0.7919720000000001,0.7916866499999999,0.79239335,0.0,0.0,0.0,,,,0.0,966
cimas,model_replace,5,21.7,trimmed_mean,True,0.791436,0.790796,0.7920307,-0.0005399999999999849,-0.0012060000000000183,0.0001780000000000781,,,,0.0,966
cimas,model_replace,7,30.4,clipping,True,0.7866259999999999,0.78641,0.7867830499999999,-0.004513999999999974,-0.0049471499999999575,-0.004231999999999969,,,,0.0,966
cimas,model_replace,7,30.4,coord_median,True,0.791826,0.7914540000000001,0.792334,0.001644000000000001,0.0011278999999999517,0.00221299999999998,,,,0.0,966
cimas,model_replace,7,30.4,fedavg,True,0.7866259999999999,0.78641,0.7867830499999999,-0.004513999999999974,-0.0049471499999999575,-0.004231999999999969,,,,0.0,966
cimas,model_replace,7,30.4,krum,True,0.791132,0.789862,0.792126,-0.0008399999999999963,-0.001988000000000012,0.0,,,,0.0,966
cimas,model_replace,7,30.4,trimmed_mean,True,0.791782,0.791404,0.79212235,-0.00019399999999998309,-0.0005980000000000097,0.00025470000000004257,,,,0.0,966
cimas,none,0,0.0,clipping,True,0.7911400000000001,0.7909219999999999,0.79139,0.0,0.0,0.0,,,,0.0,966
cimas,none,0,0.0,coord_median,True,0.7901819999999999,0.78989665,0.79053755,0.0,0.0,0.0,,,,0.0,966
cimas,none,0,0.0,fedavg,True,0.7911400000000001,0.7909219999999999,0.79139,0.0,0.0,0.0,,,,0.0,966
