pr_auc,auroc,mcc,bal_acc,sens,spec,brier,ece,model,outcome,site_test,seed,fold,n_test,n_pos_test
0.1758418530382993,0.5637254901960784,-0.0472631454134277,0.49264705882352944,0.0,0.9852941176470589,0.14762161642983843,0.12466825330077823,FL-FedAvg,Y6-base,all,7,3,80,12
0.1977855477855478,0.6296296296296297,-0.049281418063638185,0.49074074074074076,0.0,0.9814814814814815,0.12861799431428655,0.12705459602508762,FL-FedAvg,Y6-base,A,7,3,62,8
0.19453781512605042,0.2678571428571429,0.0,0.5,0.0,1.0,0.21307853705007268,0.27629893543463435,FL-FedAvg,Y6-base,B,7,3,18,4
0.1758418530382993,0.5637254901960784,-0.0472631454134277,0.49264705882352944,0.0,0.9852941176470589,0.14783483578092826,0.12573508829854635,FL-FedProx,Y6-base,all,7,3,80,12
0.1977855477855478,0.6296296296296297,-0.049281418063638185,0.49074074074074076,0.0,0.9814814814814815,0.12888553063046046,0.12818902261107654,FL-FedProx,Y6-base,A,7,3,62,8
0.19453781512605042,0.2678571428571429,0.0,0.5,0.0,1.0,0.2131046646325396,0.2763311515915513,FL-FedProx,Y6-base,B,7,3,18,4
0.16009810334296226,0.47794117647058826,-0.08291849892341731,0.47794117647058826,0.0,0.9558823529411765,0.16434216503453752,0.17959023668755433,FL-FedAvg-E,Y6-base,all,7,3,80,12
0.19547381144141943,0.6365740740740741,-0.08679260732054925,0.4722222222222222,0.0,0.9444444444444444,0.15035590614411595,0.18370710202515061,FL-FedAvg-E,Y6-base,A,7,3,62,8
0.1806985294117647,0.21428571428571425,0.0,0.5,0.0,1.0,0.2125170567682117,0.22165215180678105,FL-FedAvg-E,Y6-base,B,7,3,18,4
0.2291532743917966,0.5955882352941178,0.11258675491219976,0.5784313725490196,0.5833333333333334,0.5735294117647058,0.2229138022157823,0.30123827871550124,LR-local-A,Y6-base,all,7,4,80,12
0.17175568684189374,0.587962962962963,0.1213100440404351,0.5902777777777778,0.625,0.5555555555555556,0.225223182680339,0.3262883263871626,LR-local-A,Y6-base,A,7,4,62,8
0.49583333333333335,0.625,0.12182898077463453,0.5714285714285714,0.5,0.6428571428571429,0.2149592695045312,0.21495478117977854,LR-local-A,Y6-base,B,7,4,18,4
0.20803873231329234,0.5232843137254901,-0.13866715970633325,0.40441176470588236,0.25,0.5588235294117647,0.23412982135190755,0.28984378065289435,EN-compact,Y6-base,all,7,4,80,12
